common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula
Pacific yew*,352,Little John Yew,149,13.4,0.8,6.7,2011,2011,Queesto CF,Sooke,Tree Farm Lic.,,48.491667,-124.016833,,Queesto Comm. Forest,"Healthy, 3 ft of dead top, 2 large limbs recently broken off on one side.",Phoebe B. Dunbar,,,,Maywell Wickheim,c,0,
shining willow^,353,,304,17.1,1.89,17.5,2012,2012,Bishop Wild Bird S.,Coldstream,Parks/reserves,Bishop Wild Bird Sanct.,50.219417,-119.26425,394,Bishop Wild Bird Sanctuary.,Dead top.,Michael Carlson,,,,Michael Carlson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/353_Wp_BWBS_MC_1.jpg"" target=""_blank"">1</a>            "
Bebbs willow,354,Bebb's #1,152,17,0.71,9,2011,2012,Acles River,Clayhurst,Unknown,,56.50138,-120.15247,769,,On rich floodplain with cottonwood and white spruce. Understory with Calamagrostis canadensis. Rare lichen (Flavopunctelia flaventior) growing on the large Salix bebbiana.,Patrick Williston,,,,Darrell Peters,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/354_Wb_Acles_PW_4.jpg"" target=""_blank"">4</a>   "
Bebbs willow,355,,130,17,0.54,8,2011,2012,Acles River,Clayhurst,Unknown,,56.50138,-120.15247,769,,On rich floodplain with cottonwood and white spruce. Understory with Calamagrostis canadensis.,Patrick Williston,,,,Darrell Peters,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/355_Wb_Acles2_PW_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/355_Wb_Acles2_PW_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/355_Wb_Acles2_PW_3.jpg"" target=""_blank"">3</a>      "
black hawthorn ,356,,33,8,1,8.9,2013,2013,Esquimalt Lagoon,Colwood,Federal land,,48.427611,-123.474675,,The tree is located on the western shore of Esquimalt Lagoon.  Follow the foot track SE along stream from Royal Roads road system.,Tree has a rounded crown and multiple stems.,Hans Roemer,,,,Hans Roemer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/356_Bh_Esqui_HR_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/356_Bh_Esqui_HR_1.jpg"" target=""_blank"">2</a>         "
western white pine*,357,,,,1.1,,2013,2013,Wolf River,Campbell River,Parks/reserves,Strathcona PP,49.747836,-125.696383,,Tree is about 6 km upstream from the mouth of the Wolf River on the SE bank.,Healthy.,Hans Roemer,,,,Hans Roemer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/357_Pw_Wolf_HR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/357_Pw_Wolf_HR_2.jpg"" target=""_blank"">2</a>         "
western redcedar*,358,,754,55.7,4.5,16.9,2013,2013,White River,Sayward,Tree Farm Lic.,39,50.181214,-126.001681,260,"NEW Access Notes: Proceed north from Campbell River on Hwy 19 for 75 km.Turn left at the Sayward junction onto Sayward Rd, then immediately right onto Dyer Rd., for 500 m, then left onto Salmon River Main for approximately 500m, then turn right onto WR Main for approximately 20 km. Turn right and cross Victoria Bridge over the White River. Immediately turn right after bridge crossing and proceed north for 1.5 km. Then turn left onto WR307 or 0.5 km. Park at second overgrown spur road on the right past quarry and walk from here. Approximately 700m to end of spur then another 150m west to tree.",Tree has a candelabra top with one main stem and 4 side stems.  One of the side stems as 5 m of dead top.  The tree is on the face of a western hemlock and Douglas-fir plantation.,Gerald Whalley,,,,Scott Dunn,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/358_Cw_White_GW_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/358_Cw_White_GW_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/358_Cw_White_GW_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/358_Cw_White_GW_4.jpg"" target=""_blank"">4</a>   "
Pacific yew*,359,,138,15.5,0.62,12.2,2013,2013,Buckbrush Swamp,Metchosin,Parks/reserves,Buckbrush Swamp Park,48.370556,-123.583056,,"Tree is on the Buckbrush Swamp Trail, about 164 feet from Liberty Drive and 180 feet from Eagle Tree Place.",,Kem Luther,,,,Kem Luther,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/359_Tw_Buck_KL_1.jpg"" target=""_blank"">1</a>            "
interior Douglas-fir,360,,338,43.4,1.47,18,2013,2013,Rosebud Mtn.,Prince George,Provincial land,BCTS,53.4195,-123.126917,,"Drive south on Blackwater Rd. from Prince George for 45 minutes and make a right on Punchaw Rd. at approximately 24 km past Baldy Hughes.  Drive down Punchaw Rd. for 6 km. You will wo be near the top of a high area, locally called Rosebud Mountain.  Just before the road takes a sharp hook to the right and enters a thick, old-growth forest, look at the tree tops to your left.  You will be able to see this tree at the edge of the forest on the southwest edge of the clearing with a twisted, old top.  It is approximately 300 m from the road.",Tree has a robust crown that is fairly consistent around the whole tree.  The top has broken off some time ago.  This tree is in the proposed Rosebud Mountain Reserve (for more information see http://savingrosebud.com/).,James Steidle,,,,Jeff Burrows,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/360_Fdi_Rose_JS_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/360_Fdi_Rose_JS_2.jpg"" target=""_blank"">2</a>         "
western hemlock*,361,Elphinstone #1,339,20,2.17,5,2013,2013,Dakota Watershed,Roberts Creek,Provincial land,BCTS,missing,,,Turn off Hwy #101 heading North on the Sechelt-Roberts FSR 7472.02. Drive to intersection with Dakota Creek FSR 7575 Br.01.  Drive to proposed BCTS TFL A79517-DK42.  Follow road center line uphill into DK44. Tree is within falling boundary.,The tree has a broken top that may have been subject to a recent lightning strike.,Elphinstone Logging Focus,,,,Hans Penner,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/361_Hw_Elph1_RM_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/361_Hw_Elph1_RM_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/361_Hw_Elph1_RM_3.jpg"" target=""_blank"">3</a>      "
western hemlock*,362,Elphinstone #2,311,24.9,1.8,8.82,2013,2013,Dakota Watershed,Roberts Creek,Provincial land,BCTS,missing,,,Turn off Hwy #101 heading North on the Sechelt-Roberts FSR 7472.02. Drive to intersection with Dakota Creek FSR 7575 Br.01.  Drive to proposed BCTS TFL A79517-DK42.  Follow road center line uphill into DK44. Tree is near proposed logging road.,"The tree is healthy, growing on a 30-40% slope in a stand of other large mountain hemlocks.",Elphinstone Logging Focus,,,,Hans Penner,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/362_Hw_Elph2_RM_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/362_Hw_Elph2_RM_2.jpg"" target=""_blank"">2</a>         "
western hemlock*,363,Elphinstone #3,310,26.3,1.77,5.6,2013,2014,Dakota Watershed,Roberts Creek,Provincial land,BCTS,missing,,,Turn off Hwy #101 heading North on the Sechelt-Roberts FSR 7472.02. Drive to intersection with Dakota Creek FSR 7575 Br.01.  Drive to proposed BCTS TFL A79517-DK42.  Follow road center line uphill into DK44.,The tree is growing in a stand with other mountain hemlocks on top of a ridge on a North facing slope.,Elphinstone Logging Focus,,,,Hans Penner,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/363_Hw_Elph3_RM_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/363_Hw_Elph3_RM_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/363_Hw_Elph3_RM_3.jpg"" target=""_blank"">3</a>      "
bitter cherry*,366,,169,27.1,0.55,14.1,2014,2014,Maplehurst Park,Port Alberni,Provincial land,,49.27789,-124.80155,27.1,"Access is from the trail to Maplehurst Park at the end of Willow Road.
The tree is visible from the trail, but does not have a recognizable trail leading to it yet.","The bitter cherry tree has a fork in log one and a sweep in log two, and some scars.  The big cherry is joined to  a smaller cherry tree above the germination point.  The tree has healthy foliage and good vigor.  Slope: 0-2%,  Aspect: flat.  Thick sword fern, vanilla leaf, Oregon grape, three-leaved foam flower, and red huckleberry.  Mosses: Step moss, Lanky moss, and Oregon beaked moss.  Also maple, alder, Douglas-fir and red cedar.
Ecology:  CWHXM site series 04(80%) 05 (20%)
Moisture and nutrients 2-4/D-E
CWHXM, Costal Western Hemlock, Very Dry Maritime, CWH subzone
Site index is estimated @ 28-30 for this nutrient-rich site.  Windthrow and plellinus root rot.",Judy Carlson,,,,Ainsley Paul Dagg,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/366_Vp_Alber_JC_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/366_Vp_Alber_JC_2.jpg"" target=""_blank"">2</a>         "
western redcedar*,367,,750,51,4.54,25.6,2014,2014,Henderson L.,Kildonan,First Nations,Uchucklesaht Reserve,49.135639,-125.140967,19,"The tree is located 300 meters NW from the Henderson Lake Fish Hatchery, located at the north end of Henderson Lake (see access map).  At the Henderson Lake Lodge, you can find a new access trail to the tree (10 minute hike).","Tree is located in an old-growth forest on an old flood plain. Thick brush e.g.:  Devil Club and Alder bush, Salmon Berry makes travel awkward. The tree has a scraggly-branched top.",Craig Wagnell,Monty Horton,Tawny Lem,,A MacKinnon,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/367_Cw_Hend_CW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/367_Cw_Hend_CW_2.jpg"" target=""_blank"">2</a>         "
coastal Douglas-fir,386,Big Lonely Doug,701,66,3.79,18.33,2014,2014,Gordon River V.,Port Renfrew,Tree Farm Lic.,46,48.64622,-124.45051,96,"Driving Directions from Port Renfrew to Big Lonely Doug
1. km 0.0 - start at the Port Renfrew Community Center/Fire
Station and drive down Deering Rd 0.2 km
2. km 0.2 - continue over single lane bridge 1.1 km
3. km 1.4 - turn right at fork and continue for 1.4 km
4. km 2.7 - cross Deering Bridge and turn left onto the Gordon River Main (right goes to Lake Cowichan)
5. Stay on the mostly-paved Gordon River Main and after
approximately 5 km it will become gravel and you
will hit a “Y” where you go LEFT and cross a high bridge
over the beautiful Gordon River.
6. After crossing the bridge keep on the Gordon River Main
for about 1.5 km, staying to the RIGHT at the next “Y”.
7. Shortly after you will cross a small bridge over a creek
(Baird Creek). This is the Avatar Grove, the newly popular old-growth forest hiking area!
8. Continue past the Avatar Grove on the Gordon River Main
for approximately 4.5 km and take your FIRST RIGHT onto
Edinburgh Main road. (Note: it’s a smaller looking road)
9. You will soon cross over a bridge above a very tall canyon
on the Gordon River. *Note: From here on 4x4 vehicles with
good clearance are recommended!
10. Follow the rough road as it veers uphill and then right. Continue
on the main road for approximately 5 minutes.
11. A giant clearcut from 2012 will appear on your right hand
side. In that clearcut you will see two big Douglas-firs left
standing - the second one is Big Lonely Doug.
*NOTE: The hike into Big Lonely Doug is through a difficult
clearcut and should ONLY be attempted by those with good
balance.","The tree stands alone in a clearcut from 2012 and is hard to miss. It has a straight trunk, a broken top, and still has most of it's branches but did recently lose one of it's biggest in a wind storm. The hike into Big Lonely Doug is through difficult logging slash and should only be attempted by those with good balance.",TJ Watt,Ken Wu,,,A MacKinnon,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-clearcut-2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-Ken-Wu.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-Climb-94-2.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-Climb-355.jpg"" target=""_blank"">5</a>"
black cottonwood*,388,,599,47.5,3.4,27.5,2015,2014,Tsea Axe River,New Aiyansh,Parks/reserves,Nisga'a Mem. Lava Bed,55.20941,-129.105275,,"The tree is located on the banks of the Tsea Axe River.  It is roughly 700 meters south of the Nisga highway before the Tsea Axe River bridge heading towards the New Aiyansh turn-off. The tree appears to be a large grove visible from the highway, yet it is just one giant tree.","The tree is double stemmed starting 3 meters from the base, with a large crack extending to the ground. The tree is very healthy with an amazing spread on the crown and a very large eagles nest near the top of the crown. The tree is essentially surrounded by a large lava bed from a volcano that erupted 300 years ago.",Mike Plunkard,,,,Mike Plunkard,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_Act_Nisga_MP_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_Act_Nisga_MP_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_Act_Nisga_MP_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_IMG_0644.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_IMG_0657.jpg"" target=""_blank"">5</a>"
Sitka spruce,394,,601,68,2.93,19.5,2015,2014,Rainey Creek Trail,Stewart,Municipal/city,District of Stewart,55.9439,-129.99461,8,"The tree is on the Rainey Creek Trail, about 1/3 of the way in from the Tennis Court Entrance on the trail. For information on the trail see http://districtofstewart.com/parks-recreation/parks-sport-fields-and-trails/  or http://www.trailpeak.com/trail-Rainey-Creek-Trail-near-Stewart-BC-10202",Tree appears healthy with no visible marks or blemishes.,Maureen Tarrant,Don Barker,Tarra Barker,,Mike Plunkard,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/394_Ss_Rainey_DS.jpg"" target=""_blank"">1</a>            "
interior Douglas-fir,400,,316,40.8,1.43,6.1,2015,2014,Duck Lake,Logan Lake,Provincial land,,50.3,-120.5,1100,"The GPS co-ordinates are approximate, follow directions to find this tree. Drive through Logan Lake when coming from Kamloops. Turn LEFT at the Esso station and continue to the Black Bull pub where you can park. Walk the service road SOUTH behind the pub, continue past Duck Lake and follow the power line road to its high point.  Go LEFT down the hill until it flattens out. Follow the trail to the NORTH and you will immediately see a dozen old firs that are between 3-4m in circumference.","On an eastern slope below the hydro line. Perhaps 400 years with a slight lean and 10cm of bark.  No nests but plenty of woodpecker holes. 20+cm branches, none are dead.  There are at least a dozen old vets in a 500 m stretch along the gulley between the hydro line and gulley bottom.",Bert Parke,,,,Shaun Muc,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/400_Fdi_Logan_400_SM_1.jpg"" target=""_blank"">1</a>            "
interior Douglas-fir,406,Finlay Fir,387,42.37,1.91,15.4,2014,2014,Finlay Creek,Peachland,Provincial land,,49.76133,-119.8601,973,"From Peachland take Princeton Ave. to McDougald Rd. which turns into Munro Lake FSR.  Follow Munro FSR for 6.7km and turn left onto the new Finlay FSR. There is a wide spot for parking on the new Finlay FSR at the 7Km sign.  Park there and walk ahead to Finlay Creek.  Hike up the creek a few hundred meters to the tree.  An access map is available (see the ""Tree images and location maps"" tab). 
PLEASE NOTE: The Munro FSR reconstruction project is mostly complete.  The road is much improved but will still be muddy in spots.  Note that it is a ONE LANE ROAD with pull-outs.  During active logging you must be prepared to back up to a wide spot in the road if you meet a truck.","Fairly healthy.  Appears to have a broken top at about 8"" diameter (guess).  Small stand of very large trees in the shallow valley of Finlay Creek.  Devil's Club.  This tree is within 20 feet of the creek.  Area logged to within a few hundred meters about 100 years ago.  A new logging road (Finlay FSR) was constructed about 200 meters south of the tree.",Bill Blower,,,,Paul MacNamara,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/406_Fdi_Finlay1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/406_Fdi_Finlay2.jpg"" target=""_blank"">2</a>         "
Engelmann spruce,410,Bruce the Spruce,365,47.9,1.61,11.2,2014,2014,Nicola River FSR,Douglas Lake,Provincial land,Telko Industries,50.067429,-119.94616,1331,From Kelowna travel north on Westside Road and turn left onto Bear FSR. Travel approximately 44km on Bear FSR then turn right onto Nicola River FSR. Travel approximately 13km on Nicola River FSR.  Tree is located approximately 35m into the woods on the west side of the road beside a small water receiving site.,"Tree is in good health overall, some frost crack and advanced rot visible on roots. No visible conk.

Tree is located on the base of small, historic alluvial fan just below the edge of the Pennask plateau and about 800m upslope of the Nicola River in the MSxk.",Claire Errico,,,,Noah Lucas,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/410_Se_Bruce_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/410_Se_Bruce_2.jpg"" target=""_blank"">2</a>         "
Sitka spruce,411,San Jo's Smiley,811,77.8,4.36,19.6,2019,2014,Raft Main,Holberg,Institution/corp.,WFP,50.664497,-128.163308,0,"Heading out of Holberg - North on San Jo Main, Left on Raft Main, 13 Kms down on your right",,Melissa Milligan,,,,Marco Rowan,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/411_Ss_SanJo_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/411_Ss_SanJo_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/411_Ss_SanJo_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/411_Ss_SanJo_4.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/411_Ss_SanJo_5.jpg"" target=""_blank"">5</a>"
western redcedar^,412,,357,33.9,1.91,12,2019,2015,Pyramid Creek,Kimberley,Provincial land,,49.668818,-116.343974,unknown,"Driving from Kimberley, take the St. Mary's Lake Rd, which eventually turns into the St. Mary's River Rd after the lake is passed. Continue following the St. Mary's River Rd past the Redding Creek Rd. The tree is about 150m before Pyramid Creek on the North side of the road. The tall candelabra top of the tree should be noticeable, along with 3 others in close proximity.","Dead candelabra top. No noticeable damage to the tree, but it is leaning slightly.",Joel Sawley,,,,Dave Hale,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/412_Pyramid_BR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/412_Pyramid_BR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/412_Pyramid_BR_3a.jpg"" target=""_blank"">3</a>      "
